study_accession,sample_accession,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,fastq_ftp,fastq_galaxy,submitted_ftp,submitted_galaxy,sra_ftp,sra_galaxy,cram_index_ftp,cram_index_galaxy
PRJEB25226,SAMEA103886591,ERS2495903,ERX2403491,ERR2352620,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352620/ERR2352620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352620/ERR2352620_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352620/ERR2352620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352620/ERR2352620_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_7_TP-D7-011_TP-D5-005_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_7_TP-D7-011_TP-D5-005_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_7_TP-D7-011_TP-D5-005_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_7_TP-D7-011_TP-D5-005_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352620,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352620,,
PRJEB25226,SAMEA103886405,ERS2495795,ERX2403492,ERR2352630,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352630/ERR2352630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352630/ERR2352630_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352630/ERR2352630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352630/ERR2352630_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_8_TP-D7-011_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_8_TP-D7-011_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_8_TP-D7-011_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_8_TP-D7-011_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352630,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352630,,
PRJEB25226,SAMEA103886533,ERS2495973,ERX2403493,ERR2352640,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352640/ERR2352640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352640/ERR2352640_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352640/ERR2352640_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352640/ERR2352640_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160509_D00248_0169_AC8KTWANXX_4_TP-D7-011_TP-D5-007_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160509_D00248_0169_AC8KTWANXX_4_TP-D7-011_TP-D5-007_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160509_D00248_0169_AC8KTWANXX_4_TP-D7-011_TP-D5-007_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160509_D00248_0169_AC8KTWANXX_4_TP-D7-011_TP-D5-007_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352640,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352640,,
PRJEB25226,SAMEA103887020,ERS2495809,ERX2403494,ERR2352650,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352650/ERR2352650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352650/ERR2352650_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352650/ERR2352650_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352650/ERR2352650_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_3_TP-D7-005_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_3_TP-D7-005_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_3_TP-D7-005_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_3_TP-D7-005_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352650,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352650,,
PRJEB25226,SAMEA103887020,ERS2495809,ERX2403494,ERR2352660,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352660/ERR2352660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352660/ERR2352660_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352660/ERR2352660_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352660/ERR2352660_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_8_TP-D7-005_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_8_TP-D7-005_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_8_TP-D7-005_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_8_TP-D7-005_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352660,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352660,,
PRJEB25226,SAMEA103886402,ERS2495794,ERX2403495,ERR2352670,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352670/ERR2352670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352670/ERR2352670_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352670/ERR2352670_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352670/ERR2352670_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_3_TP-D7-005_TP-D5-007_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_3_TP-D7-005_TP-D5-007_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_3_TP-D7-005_TP-D5-007_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_3_TP-D7-005_TP-D5-007_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352670,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352670,,
PRJEB25226,SAMEA103886402,ERS2495794,ERX2403495,ERR2352680,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352680/ERR2352680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352680/ERR2352680_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352680/ERR2352680_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352680/ERR2352680_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_1_TP-D7-005_TP-D5-007_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_1_TP-D7-005_TP-D5-007_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_1_TP-D7-005_TP-D5-007_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_1_TP-D7-005_TP-D5-007_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352680,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352680,,
PRJEB25226,SAMEA103886488,ERS2495919,ERX2403496,ERR2352690,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352690/ERR2352690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352690/ERR2352690_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352690/ERR2352690_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352690/ERR2352690_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_5_TP-D7-006_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_5_TP-D7-006_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_5_TP-D7-006_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_5_TP-D7-006_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352690,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352690,,
PRJEB25226,SAMEA103886488,ERS2495919,ERX2403496,ERR2352700,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352700/ERR2352700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352700/ERR2352700_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352700/ERR2352700_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352700/ERR2352700_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_2_TP-D7-006_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_2_TP-D7-006_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_2_TP-D7-006_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_2_TP-D7-006_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352700,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352700,,
PRJEB25226,SAMEA103886488,ERS2495919,ERX2403496,ERR2352710,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352710/ERR2352710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352710/ERR2352710_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352710/ERR2352710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352710/ERR2352710_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_6_TP-D7-006_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_6_TP-D7-006_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_6_TP-D7-006_TP-D5-006_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_6_TP-D7-006_TP-D5-006_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352710,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352710,,
PRJEB25226,SAMEA103886843,ERS2495867,ERX2403498,ERR2352720,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352720/ERR2352720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352720/ERR2352720_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352720/ERR2352720_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352720/ERR2352720_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_8_TP-D7-012_TP-D5-001_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_8_TP-D7-012_TP-D5-001_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_8_TP-D7-012_TP-D5-001_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_8_TP-D7-012_TP-D5-001_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352720,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352720,,
PRJEB25226,SAMEA103886898,ERS2495972,ERX2403499,ERR2352730,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352730/ERR2352730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352730/ERR2352730_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352730/ERR2352730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352730/ERR2352730_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_1_TP-D7-012_TP-D5-002_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_1_TP-D7-012_TP-D5-002_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_1_TP-D7-012_TP-D5-002_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160609_D00248_0176_AC9HJWANXX_1_TP-D7-012_TP-D5-002_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352730,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352730,,
PRJEB25226,SAMEA103887056,ERS2495787,ERX2403500,ERR2352740,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352740/ERR2352740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352740/ERR2352740_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352740/ERR2352740_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352740/ERR2352740_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_1_TP-D7-005_TP-D5-008_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_1_TP-D7-005_TP-D5-008_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_1_TP-D7-005_TP-D5-008_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160329_D00248_0160_BC8TGVANXX_1_TP-D7-005_TP-D5-008_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352740,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352740,,
PRJEB25226,SAMEA103887056,ERS2495787,ERX2403500,ERR2352750,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352750/ERR2352750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352750/ERR2352750_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352750/ERR2352750_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352750/ERR2352750_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_1_TP-D7-005_TP-D5-008_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_1_TP-D7-005_TP-D5-008_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_1_TP-D7-005_TP-D5-008_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0164_BC8VV7ANXX_1_TP-D7-005_TP-D5-008_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352750,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352750,,
PRJEB25226,SAMEA103887056,ERS2495787,ERX2403500,ERR2352760,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352760/ERR2352760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352760/ERR2352760_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352760/ERR2352760_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352760/ERR2352760_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0163_AC8W02ANXX_1_TP-D7-005_TP-D5-008_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0163_AC8W02ANXX_1_TP-D7-005_TP-D5-008_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0163_AC8W02ANXX_1_TP-D7-005_TP-D5-008_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/160408_D00248_0163_AC8W02ANXX_1_TP-D7-005_TP-D5-008_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352760,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352760,,
PRJEB25226,SAMEA103886462,ERS2495939,ERX2403502,ERR2352770,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352770/ERR2352770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352770/ERR2352770_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352770/ERR2352770_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352770/ERR2352770_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_8_TP-D7-001_TP-D5-004_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_8_TP-D7-001_TP-D5-004_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_8_TP-D7-001_TP-D5-004_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_8_TP-D7-001_TP-D5-004_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352770,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352770,,
PRJEB25226,SAMEA103886912,ERS2495911,ERX2403504,ERR2352780,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352780/ERR2352780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352780/ERR2352780_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352780/ERR2352780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352780/ERR2352780_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0119_BC7HNYANXX_1_TP-D7-001_TP-D5-005_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0119_BC7HNYANXX_1_TP-D7-001_TP-D5-005_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0119_BC7HNYANXX_1_TP-D7-001_TP-D5-005_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0119_BC7HNYANXX_1_TP-D7-001_TP-D5-005_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352780,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352780,,
PRJEB25226,SAMEA103887207,ERS2495907,ERX2403505,ERR2352790,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352790/ERR2352790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352790/ERR2352790_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352790/ERR2352790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352790/ERR2352790_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_8_TP-D7-001_TP-D5-007_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_8_TP-D7-001_TP-D5-007_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_8_TP-D7-001_TP-D5-007_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_8_TP-D7-001_TP-D5-007_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352790,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352790,,
PRJEB25226,SAMEA103887251,ERS2495864,ERX2403507,ERR2352800,89462,Bubalus bubalis,Illumina HiSeq 2500,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352800/ERR2352800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352800/ERR2352800_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352800/ERR2352800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR235/000/ERR2352800/ERR2352800_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_5_TP-D7-001_TP-D5-008_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_5_TP-D7-001_TP-D5-008_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_5_TP-D7-001_TP-D5-008_1.sanfastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA123/ERA1230280/fastq/150910_D00248_0118_AC7GWEANXX_5_TP-D7-001_TP-D5-008_2.sanfastq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352800,ftp.sra.ebi.ac.uk/vol1/err/ERR235/000/ERR2352800,,
